Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,0.000021,0.000022,0.000021,0.000022,0.000022,519254046
2022-02-02,0.000022,0.000022,0.000020,0.000021,0.000021,484518640
2022-02-03,0.000021,0.000021,0.000020,0.000021,0.000021,421850042
2022-02-04,0.000021,0.000022,0.000021,0.000022,0.000022,609855710
2022-02-05,0.000022,0.000024,0.000022,0.000023,0.000023,842566055
2022-02-06,0.000023,0.000028,0.000022,0.000028,0.000028,2156462842
2022-02-07,0.000028,0.000035,0.000027,0.000033,0.000033,4764331366
2022-02-08,0.000033,0.000035,0.000030,0.000031,0.000031,3618590002
2022-02-09,0.000031,0.000034,0.000031,0.000033,0.000033,2365650708
2022-02-10,0.000033,0.000034,0.000031,0.000031,0.000031,2546459745
2022-02-11,0.000031,0.000032,0.000028,0.000029,0.000029,2012806768
2022-02-12,0.000029,0.000030,0.000028,0.000029,0.000029,1683120664
2022-02-13,0.000029,0.000032,0.000029,0.000030,0.000030,2065365631
2022-02-14,0.000030,0.000031,0.000029,0.000030,0.000030,1558119657
2022-02-15,0.000030,0.000032,0.000030,0.000031,0.000031,1602354887
2022-02-16,0.000031,0.000031,0.000030,0.000031,0.000031,1350071541
2022-02-17,0.000031,0.000032,0.000028,0.000028,0.000028,2067544526
2022-02-18,0.000028,0.000030,0.000028,0.000028,0.000028,1458694142
2022-02-19,0.000028,0.000029,0.000027,0.000028,0.000028,929189862
2022-02-20,0.000028,0.000028,0.000025,0.000026,0.000026,1235841144
2022-02-21,0.000026,0.000027,0.000024,0.000024,0.000024,2001180593
2022-02-22,0.000024,0.000025,0.000023,0.000025,0.000025,1524043647
2022-02-23,0.000025,0.000027,0.000025,0.000025,0.000025,1728129985
2022-02-24,0.000025,0.000025,0.000021,0.000024,0.000024,3275038601
2022-02-25,0.000024,0.000025,0.000023,0.000025,0.000025,1740381961
2022-02-26,0.000025,0.000026,0.000024,0.000024,0.000024,1099351580
2022-02-27,0.000024,0.000025,0.000023,0.000023,0.000023,1217089606
2022-02-28,0.000023,0.000026,0.000023,0.000026,0.000026,1513953706
2022-03-01,0.000026,0.000028,0.000025,0.000027,0.000027,2075874028
2022-03-02,0.000027,0.000027,0.000026,0.000026,0.000026,1396864024
2022-03-03,0.000026,0.000026,0.000025,0.000025,0.000025,963213922
2022-03-04,0.000025,0.000025,0.000023,0.000024,0.000024,977852640
2022-03-05,0.000024,0.000025,0.000023,0.000025,0.000025,722836004
2022-03-06,0.000025,0.000025,0.000023,0.000024,0.000024,639453988
2022-03-07,0.000024,0.000024,0.000022,0.000023,0.000023,877141756
2022-03-08,0.000023,0.000023,0.000023,0.000023,0.000023,703855373
2022-03-09,0.000023,0.000024,0.000023,0.000024,0.000024,951434921
2022-03-10,0.000024,0.000024,0.000022,0.000023,0.000023,818094363
2022-03-11,0.000023,0.000023,0.000022,0.000022,0.000022,748848965
2022-03-12,0.000022,0.000023,0.000022,0.000022,0.000022,438871956
2022-03-13,0.000022,0.000023,0.000021,0.000022,0.000022,660720467
2022-03-14,0.000022,0.000022,0.000021,0.000022,0.000022,632243876
2022-03-15,0.000022,0.000022,0.000021,0.000022,0.000022,640514222
2022-03-16,0.000022,0.000023,0.000022,0.000023,0.000023,841713079
2022-03-17,0.000023,0.000023,0.000022,0.000022,0.000022,594487997
2022-03-18,0.000022,0.000023,0.000022,0.000022,0.000022,696479699
2022-03-19,0.000022,0.000025,0.000022,0.000024,0.000024,1912871449
2022-03-20,0.000024,0.000024,0.000023,0.000023,0.000023,1176567440
2022-03-21,0.000023,0.000023,0.000022,0.000023,0.000023,746003820
2022-03-22,0.000023,0.000024,0.000023,0.000023,0.000023,987790840
2022-03-23,0.000023,0.000025,0.000023,0.000024,0.000024,1272114432
2022-03-24,0.000024,0.000025,0.000024,0.000025,0.000025,1339708814
2022-03-25,0.000025,0.000025,0.000024,0.000024,0.000024,906531254
2022-03-26,0.000024,0.000025,0.000024,0.000024,0.000024,472902729
2022-03-27,0.000024,0.000026,0.000024,0.000026,0.000026,792774798
2022-03-28,0.000026,0.000029,0.000025,0.000026,0.000026,3561607258
2022-03-29,0.000026,0.000028,0.000026,0.000027,0.000027,2063838416
2022-03-30,0.000027,0.000028,0.000026,0.000027,0.000027,1629913880
2022-03-31,0.000027,0.000028,0.000026,0.000026,0.000026,1418516436
2022-04-01,0.000026,0.000026,0.000025,0.000026,0.000026,1141763445
2022-04-02,0.000026,0.000027,0.000026,0.000026,0.000026,1189366972
2022-04-03,0.000026,0.000027,0.000026,0.000027,0.000027,918512393
2022-04-04,0.000027,0.000027,0.000026,0.000026,0.000026,1101356399
2022-04-05,0.000026,0.000028,0.000026,0.000027,0.000027,1507483085
2022-04-06,0.000027,0.000027,0.000024,0.000024,0.000024,1296200471
2022-04-07,0.000024,0.000025,0.000024,0.000025,0.000025,687645596
2022-04-08,0.000025,0.000025,0.000024,0.000024,0.000024,624386355
2022-04-09,0.000024,0.000025,0.000024,0.000025,0.000025,456283801
2022-04-10,0.000025,0.000025,0.000024,0.000025,0.000025,683926475
2022-04-11,0.000025,0.000025,0.000022,0.000022,0.000022,739648605
2022-04-12,0.000022,0.000030,0.000022,0.000027,0.000027,3927623558
2022-04-13,0.000027,0.000028,0.000026,0.000027,0.000027,2032682825
2022-04-14,0.000027,0.000027,0.000025,0.000026,0.000026,1152162515
2022-04-15,0.000026,0.000026,0.000026,0.000026,0.000026,464520286
2022-04-16,0.000026,0.000026,0.000025,0.000026,0.000026,338664091
2022-04-17,0.000026,0.000026,0.000025,0.000025,0.000025,420838842
2022-04-18,0.000025,0.000025,0.000024,0.000025,0.000025,713137006
2022-04-19,0.000025,0.000026,0.000025,0.000025,0.000025,514266085
2022-04-20,0.000025,0.000026,0.000025,0.000025,0.000025,628811523
2022-04-21,0.000025,0.000025,0.000024,0.000024,0.000024,520836111
2022-04-22,0.000024,0.000025,0.000024,0.000024,0.000024,431642746
2022-04-23,0.000024,0.000025,0.000024,0.000024,0.000024,341880954
2022-04-24,0.000024,0.000024,0.000024,0.000024,0.000024,328056265
2022-04-25,0.000024,0.000025,0.000022,0.000024,0.000024,1200258088
2022-04-26,0.000024,0.000025,0.000023,0.000023,0.000023,729940767
2022-04-27,0.000023,0.000024,0.000023,0.000023,0.000023,650386644
2022-04-28,0.000023,0.000023,0.000023,0.000023,0.000023,472878759
2022-04-29,0.000023,0.000023,0.000022,0.000022,0.000022,677823796
2022-04-30,0.000022,0.000022,0.000019,0.000020,0.000020,818405640
2022-05-01,0.000020,0.000022,0.000020,0.000022,0.000022,848056380
2022-05-02,0.000022,0.000022,0.000020,0.000021,0.000021,592820970
2022-05-03,0.000021,0.000021,0.000020,0.000020,0.000020,403376379
2022-05-04,0.000020,0.000022,0.000020,0.000022,0.000022,636180875
2022-05-05,0.000022,0.000022,0.000020,0.000020,0.000020,713051913
2022-05-06,0.000020,0.000020,0.000020,0.000020,0.000020,585924268
2022-05-07,0.000020,0.000020,0.000019,0.000019,0.000019,423936667
2022-05-08,0.000019,0.000019,0.000018,0.000018,0.000018,537073562
2022-05-09,0.000018,0.000019,0.000014,0.000014,0.000014,1391408513
2022-05-10,0.000014,0.000018,0.000014,0.000016,0.000016,1923105329
2022-05-11,0.000016,0.000017,0.000011,0.000012,0.000012,1583801209
2022-05-12,0.000012,0.000013,0.000009,0.000011,0.000011,1412033424
2022-05-13,0.000011,0.000014,0.000011,0.000013,0.000013,1436004010
2022-05-14,0.000013,0.000014,0.000012,0.000013,0.000013,821428365
2022-05-15,0.000013,0.000013,0.000012,0.000013,0.000013,476871904
2022-05-16,0.000013,0.000013,0.000012,0.000012,0.000012,470716635
2022-05-17,0.000012,0.000013,0.000012,0.000013,0.000013,502026876
2022-05-18,0.000013,0.000013,0.000012,0.000012,0.000012,447213809
2022-05-19,0.000012,0.000012,0.000011,0.000012,0.000012,428502212
2022-05-20,0.000012,0.000012,0.000011,0.000012,0.000012,318906896
2022-05-21,0.000012,0.000012,0.000011,0.000012,0.000012,269090360
2022-05-22,0.000012,0.000012,0.000012,0.000012,0.000012,346543992
2022-05-23,0.000012,0.000013,0.000012,0.000012,0.000012,684387210
2022-05-24,0.000012,0.000012,0.000011,0.000012,0.000012,338191313
2022-05-25,0.000012,0.000012,0.000012,0.000012,0.000012,270410751
2022-05-26,0.000012,0.000012,0.000010,0.000011,0.000011,470812067
2022-05-27,0.000011,0.000011,0.000010,0.000010,0.000010,405412906
2022-05-28,0.000011,0.000011,0.000010,0.000011,0.000011,231462555
2022-05-29,0.000011,0.000012,0.000011,0.000012,0.000012,419949041
2022-05-30,0.000012,0.000012,0.000011,0.000012,0.000012,635871505
2022-05-31,0.000012,0.000012,0.000012,0.000012,0.000012,475903019
2022-06-01,0.000012,0.000012,0.000011,0.000011,0.000011,428977853
2022-06-02,0.000011,0.000011,0.000011,0.000011,0.000011,295981470
2022-06-03,0.000011,0.000011,0.000011,0.000011,0.000011,255259560
2022-06-04,0.000011,0.000011,0.000011,0.000011,0.000011,176261542
2022-06-05,0.000011,0.000011,0.000011,0.000011,0.000011,175363152
2022-06-06,0.000011,0.000011,0.000011,0.000011,0.000011,299560801
2022-06-07,0.000011,0.000011,0.000010,0.000011,0.000011,344739034
2022-06-08,0.000011,0.000011,0.000011,0.000011,0.000011,228040184
2022-06-09,0.000011,0.000011,0.000010,0.000011,0.000011,384640508
2022-06-10,0.000011,0.000011,0.000010,0.000010,0.000010,241095707
2022-06-11,0.000010,0.000010,0.000009,0.000009,0.000009,347009991
2022-06-12,0.000009,0.000009,0.000008,0.000009,0.000009,468217434
2022-06-13,0.000009,0.000009,0.000007,0.000008,0.000008,665964700
2022-06-14,0.000008,0.000008,0.000008,0.000008,0.000008,478277756
2022-06-15,0.000008,0.000009,0.000008,0.000009,0.000009,514356384
2022-06-16,0.000009,0.000009,0.000008,0.000008,0.000008,343758214
2022-06-17,0.000008,0.000008,0.000008,0.000008,0.000008,210833181
2022-06-18,0.000008,0.000008,0.000007,0.000008,0.000008,304500488
2022-06-19,0.000008,0.000008,0.000007,0.000008,0.000008,310911208
2022-06-20,0.000008,0.000008,0.000008,0.000008,0.000008,247862112
2022-06-21,0.000008,0.000012,0.000008,0.000011,0.000011,1578164594
2022-06-22,0.000011,0.000011,0.000009,0.000010,0.000010,1212245866
2022-06-23,0.000010,0.000010,0.000010,0.000010,0.000010,679449485
2022-06-24,0.000010,0.000011,0.000010,0.000011,0.000011,804722625
2022-06-25,0.000011,0.000012,0.000011,0.000012,0.000012,926458281
2022-06-26,0.000012,0.000012,0.000011,0.000011,0.000011,647639113
2022-06-27,0.000011,0.000012,0.000011,0.000011,0.000011,524506475
2022-06-28,0.000011,0.000011,0.000010,0.000010,0.000010,472570140
2022-06-29,0.000010,0.000011,0.000010,0.000010,0.000010,582310241
2022-06-30,0.000010,0.000010,0.000010,0.000010,0.000010,604730096
2022-07-01,0.000010,0.000011,0.000010,0.000010,0.000010,423518491
2022-07-02,0.000010,0.000010,0.000010,0.000010,0.000010,220131113
2022-07-03,0.000010,0.000010,0.000010,0.000010,0.000010,204381631
2022-07-04,0.000010,0.000011,0.000010,0.000010,0.000010,289253382
2022-07-05,0.000010,0.000011,0.000010,0.000010,0.000010,462032913
2022-07-06,0.000010,0.000011,0.000010,0.000010,0.000010,317999228
2022-07-07,0.000010,0.000011,0.000010,0.000011,0.000011,454333295
2022-07-08,0.000011,0.000012,0.000011,0.000011,0.000011,586643040
2022-07-09,0.000011,0.000012,0.000011,0.000012,0.000012,419470972
2022-07-10,0.000012,0.000012,0.000011,0.000011,0.000011,337983053
2022-07-11,0.000011,0.000011,0.000010,0.000010,0.000010,332271712
2022-07-12,0.000010,0.000011,0.000010,0.000010,0.000010,287884681
